Player_Name,Age,Overall,Potential,Sprint_Speed,Finishing,Short_Passing,Dribbling,Standing_Tackle,Strength,Career_Stage_28+ (Veteran),Career_Stage_U21 (Wonderkid),Broad_Position_Defender,Broad_Position_Midfielder,True_Value_EUR,Predicted_Value_EUR,Age_SHAP,Overall_SHAP,Potential_SHAP,Sprint_Speed_SHAP,Finishing_SHAP,Short_Passing_SHAP,Dribbling_SHAP,Standing_Tackle_SHAP,Strength_SHAP,Career_Stage_28+ (Veteran)_SHAP,Career_Stage_U21 (Wonderkid)_SHAP,Broad_Position_Defender_SHAP,Broad_Position_Midfielder_SHAP
Alejandro Garnacho,21,78.0,84.0,84.0,77.0,74.0,78.0,37.0,42.0,0,1,0,0,29449658.99999995,25107596.0,0.039428744,-0.16990022,-0.08696328,-0.021779828,0.023110723,0.0013548246,-0.00045842474,0.05300005,-0.026691586,0.00061047217,0.0039042968,0.00026985919,0.0021442056
Manuel Locatelli,27,84.0,85.0,65.0,60.0,85.0,76.0,85.0,73.0,0,0,0,1,18406037.000000015,20568580.0,-0.16335894,0.0999042,-0.104789466,-0.061004944,-0.056522835,0.020950906,-0.080923714,-0.013759963,-0.005955409,0.002420669,-0.0030594901,-0.0014183882,-0.013862965
James Maddison,28,83.0,83.0,65.0,80.0,86.0,86.0,68.0,56.0,1,0,0,1,18406037.000000015,19196140.0,-0.16939074,-0.05871789,-0.09729166,-0.04507725,-0.0050640404,0.023034925,0.049362198,-0.03625691,-0.093737796,-0.0049646255,-0.0040694536,-0.0007989061,-0.007458694
Cody Gakpo,26,83.0,84.0,82.0,81.0,81.0,86.0,48.0,75.0,0,0,0,0,47855696.0,38910110.0,0.00714234,0.09510756,-0.08115126,-0.0045518624,0.016162127,0.039442185,0.104090914,0.027611524,0.050458413,0.0012466828,-0.0018309419,0.0008254125,0.0015500047
Trent Alexander-Arnold,26,85.0,86.0,79.0,64.0,87.0,79.0,82.0,68.0,0,0,1,0,47855696.0,46067684.0,0.02997188,0.34776965,-0.038727615,0.0031638986,-0.0023778905,0.07519961,0.007416135,0.014395401,-0.005011002,0.003537055,-0.0017735695,-0.009517246,0.00091896823
Cole Palmer,23,86.0,89.0,75.0,82.0,87.0,87.0,50.0,60.0,0,0,0,1,80986563.00000006,78801430.0,0.054075707,0.4253283,0.3578336,0.014641649,0.021192655,0.08411164,0.058086563,0.0032087094,-0.06261807,0.0059651462,-0.0012858132,0.010981608,-0.009743077
Ibrahim Maza,19,78.0,86.0,76.0,67.0,80.0,83.0,68.0,62.0,0,1,0,1,29449658.99999995,27845164.0,0.11651106,-0.1665105,0.00063393696,0.0056112856,0.001827552,0.033834532,0.03445021,-0.03767712,-0.070489764,0.0010431126,0.008349784,0.00056192995,-0.006626974
Pape Matar Sarr,22,80.0,85.0,66.0,65.0,82.0,81.0,80.0,71.0,0,0,0,1,23559726.99999998,27857436.0,0.04000072,-0.08828619,-0.04695626,0.013308523,0.00653211,0.0077930484,0.013398315,-0.007207792,-0.010224141,0.0013891727,-0.004455683,0.001580793,-0.0049215904
Jamie Gittens,20,78.0,84.0,90.0,75.0,71.0,87.0,22.0,54.0,0,1,0,0,25768451.999999985,25401812.0,0.031325933,-0.17740497,-0.075332955,0.045945782,0.008087261,-0.03610282,0.04160033,0.04457224,-0.05892078,0.00093240634,0.003149284,0.00049253664,0.001334424
Ferdi Kadıoğlu,25,79.0,81.0,84.0,65.0,78.0,79.0,77.0,58.0,0,0,1,0,22087243.999999985,21219556.0,-0.032478202,-0.16553187,-0.10581007,-0.009449983,0.00941165,-0.008908108,0.0011590873,-0.008686409,-0.029433135,0.0004503238,-0.001531687,-0.00067821535,0.0012645106
Raphael Onyedika,24,78.0,85.0,73.0,60.0,79.0,70.0,76.0,83.0,0,0,1,0,16933553.99999999,21461700.0,-0.02771332,-0.19362372,-0.045240168,-0.0008971324,-0.030223642,-0.015218371,-0.06330712,-0.0074787866,0.04828388,0.00036285009,-0.0028207244,-0.0042035193,0.003211838
Francisco F. da Conceição,22,79.0,86.0,87.0,74.0,78.0,85.0,42.0,40.0,0,0,0,0,22087243.999999985,22980996.0,0.028349275,-0.1697104,-0.038237505,-0.036060706,-0.009263616,-0.006847172,0.02857422,0.034653742,-0.103024386,0.0009395752,-0.0016715941,0.0005827685,0.0012493453
Joško Gvardiol,23,85.0,88.0,79.0,68.0,82.0,79.0,85.0,82.0,0,0,1,0,51536904.0,56368856.0,0.048015334,0.36750403,0.15882696,0.0021132107,-0.0063916533,0.0036660384,0.009019367,-0.0030522505,0.05821483,0.0056354376,-0.0010321931,-0.016090278,0.00034437352
Joelinton Apolinário de Lira,28,81.0,81.0,78.0,75.0,81.0,83.0,84.0,90.0,1,0,0,1,22087243.999999985,23903016.0,-0.11253032,-0.08955641,-0.10788691,-0.006019656,0.0011974422,0.0016583133,0.06221909,-0.026181605,0.060372423,-0.006907914,-0.0030433084,0.0003695643,-0.0048258207
Denis Zakaria,28,81.0,81.0,86.0,64.0,82.0,78.0,82.0,87.0,1,0,1,0,18406037.000000015,22826872.0,-0.107049584,-0.07825927,-0.111228324,-0.009733813,0.011751508,-0.007413676,-0.012160587,-0.013707302,0.061630286,-0.006491502,-0.0025164566,-0.0026760546,0.00065770344
Rafael da Conceição Leão,26,84.0,85.0,93.0,82.0,83.0,87.0,24.0,79.0,0,0,0,0,47855696.0,40027044.0,0.015886921,0.21029158,-0.089373514,0.021905083,0.016029174,-0.011594163,0.085856676,-0.0009972514,0.033718314,0.0016855573,-0.0009769815,0.0012721852,0.000707225
Jurriën Timber,24,84.0,87.0,76.0,41.0,81.0,77.0,85.0,82.0,0,0,1,0,51536904.0,49983210.0,0.025526287,0.28324124,0.093252376,0.011555514,-0.016522601,0.023921603,0.0005393583,0.012354566,0.07639903,0.0031616227,-0.0018909072,-0.0064196154,0.0014214105
Rasmus Højlund,22,77.0,83.0,86.0,79.0,72.0,75.0,28.0,82.0,0,0,0,0,36812074.00000004,28925412.0,0.038432103,-0.18466586,-0.0692276,-0.012124843,0.02862033,-0.01479451,-0.034655668,0.123257585,0.08133802,0.0007472072,-0.0010436858,0.0009017887,0.0027968634
Federico Dimarco,27,86.0,86.0,79.0,74.0,85.0,78.0,81.0,72.0,0,0,1,0,36812074.00000004,38230880.0,-0.09234463,0.35141262,-0.041755524,0.0057503944,0.0084211975,0.033904355,-0.013999038,0.0038775634,-0.010252597,0.0034046087,-0.0013455658,-0.009377309,0.00080291135
Raúl Asencio del Rosario,22,78.0,84.0,86.0,35.0,79.0,71.0,78.0,78.0,0,0,1,0,18406037.000000015,19990204.0,0.015158851,-0.18329714,-0.09915128,-0.03570658,-0.021114383,-0.012289128,-0.054286502,-0.021018146,0.005255021,0.00036285009,-0.0018101371,-0.004035273,0.0020250056
Senny Mayulu,19,77.0,86.0,74.0,74.0,80.0,78.0,68.0,52.0,0,1,0,0,29449658.99999995,27905032.0,0.11339966,-0.20039178,-0.005774801,0.022557909,0.008582405,0.036817767,-0.0038208493,-0.036293488,-0.024291964,0.0008283515,0.0093312375,0.0006071928,0.0021077944
Scott McTominay,28,86.0,86.0,80.0,84.0,85.0,86.0,81.0,82.0,1,0,0,1,33130866.00000001,34125010.0,-0.17994897,0.22459209,-0.04728804,-0.0038358201,0.0109596895,0.0342653,0.0571019,-0.0050011026,0.057363328,-0.020714654,-0.0010321931,0.0010747077,-0.0026515285
Rodrygo Silva de Goes,24,84.0,87.0,87.0,78.0,79.0,88.0,39.0,59.0,0,0,0,0,36812074.00000004,37700744.0,0.0049314005,0.25543544,0.036660448,-0.026669651,-0.016209966,-0.013252298,0.024989152,0.0036794918,-0.049941994,0.002538374,-0.0010419195,0.0012335625,0.0021837763
Victor Froholdt,19,78.0,88.0,77.0,69.0,80.0,77.0,78.0,67.0,0,1,0,1,22087243.999999985,28754832.0,0.08650077,-0.21746369,0.10831713,-0.005486535,-0.02010164,0.024162246,-0.006619926,0.0062026978,-0.021047847,0.0013460427,0.008349784,0.00105953,-0.01155565
Yankuba Minteh,20,80.0,86.0,94.0,75.0,74.0,85.0,60.0,47.0,0,1,0,0,29449658.99999995,27665964.0,0.057198808,-0.085677184,-0.022791103,0.008484784,0.013335891,-0.0024553912,0.032137625,-0.041113902,-0.050594267,0.0010477093,0.0028283289,0.0012546327,0.0013973507
Nikola Krstović,25,76.0,79.0,67.0,80.0,69.0,70.0,18.0,81.0,0,0,0,0,18406037.000000015,19443544.0,-0.043874335,-0.20385146,-0.07911811,0.0039742105,-0.01345159,-0.03864762,-0.056980804,-0.0075525236,-0.0012889248,0.0007472072,-0.0023955521,0.000711751,0.0041016163
Matias Fernandez-Pardo,20,76.0,84.0,93.0,71.0,73.0,79.0,36.0,73.0,0,1,0,0,22087243.999999985,23103392.0,0.02858369,-0.22540261,-0.07244341,-0.03371336,-0.0082511045,-0.0005881493,-0.009733369,0.040464137,0.009784219,0.00057943835,0.0035750698,0.00087900023,0.0011171937
Tijjani Reijnders,26,85.0,86.0,75.0,78.0,87.0,84.0,77.0,69.0,0,0,0,1,44174489.00000005,46627964.0,0.023153575,0.34775177,-0.06608513,0.012199124,-0.01307587,0.06993967,0.049184807,0.00948739,0.0069920346,0.0035349035,-0.0015621462,0.003022805,-0.0074903895
Amine Gouiri,25,79.0,82.0,75.0,85.0,78.0,81.0,41.0,71.0,0,0,0,0,20614760.99999998,23108372.0,-0.029722001,-0.18775576,-0.10164446,0.0016525689,0.015712688,-0.009005871,-0.012653826,0.05261442,0.004920325,0.0006871393,-0.0025959064,0.00075227546,0.0020926464
Nikola Milenković,27,81.0,82.0,53.0,38.0,73.0,60.0,83.0,90.0,0,0,1,0,22087243.999999985,22611896.0,-0.12070029,-0.029061493,-0.13119622,-0.049063087,0.009313226,0.003066602,-0.010283639,-0.025549887,0.06731163,0.00082106516,-0.0023216482,-0.0017722208,0.0027699661
Bruno Miguel Borges Fernandes,30,88.0,88.0,66.0,82.0,92.0,81.0,71.0,61.0,1,0,0,1,29449658.99999995,30624424.0,-0.23210523,0.23131098,0.13144688,-0.0073768497,0.012630636,0.014356318,0.009777168,-0.028221698,-0.054737,-0.055374943,-0.002069306,0.002850665,-0.005828481
Erison Danilo de Souza,23,70.0,76.0,61.0,72.0,62.0,67.0,19.0,80.0,0,0,0,0,17669795.000000004,19624880.0,-0.033938106,-0.17332162,-0.06689765,-0.04702787,-0.0040253606,-0.03620242,-0.05138525,-0.016301958,0.0021892283,-0.00073023903,-0.00215781,-0.0009849881,0.00243682
Willian Pacho,23,87.0,90.0,85.0,30.0,78.0,52.0,90.0,89.0,0,0,1,0,51536904.0,57352064.0,0.0455469,0.44187883,0.29502505,-0.017464465,-0.07365164,0.0041832346,-0.03755142,-0.010679304,0.050120495,0.0065253763,-0.00048737146,-0.061236527,0.0018569038
Harry Wilson,28,79.0,79.0,76.0,78.0,78.0,80.0,45.0,53.0,1,0,0,0,18406037.000000015,20775108.0,-0.047536813,-0.14770803,-0.096393056,-0.003726736,-0.005977837,-0.010397681,-0.006609466,0.011057088,-0.0627627,-0.0007363396,-0.0024250492,-0.00039189355,0.0022247978
Alberto Moleiro González,21,81.0,87.0,85.0,77.0,81.0,85.0,55.0,65.0,0,1,0,0,29449658.99999995,31538628.0,0.0725134,-0.006548559,0.052360963,-0.034554157,0.010633007,0.024801278,0.018473698,-0.056815166,-0.043615926,0.0015149347,0.0035459823,0.0017211625,0.0020362218
Tomás Lemos Araújo,23,78.0,86.0,83.0,25.0,78.0,72.0,80.0,82.0,0,0,1,0,20614760.99999998,22319620.0,-0.008901401,-0.2035338,-0.004135025,-0.013046552,-0.04950717,-0.0022007755,-0.042760033,-0.019153917,0.04709535,0.00043008692,-0.0015455491,-0.004118264,0.0016942045
Omari Hutchinson,21,76.0,84.0,79.0,73.0,71.0,79.0,57.0,51.0,0,1,0,0,22087243.999999985,20601208.0,0.03184313,-0.22940263,-0.073846504,-0.0029580684,0.00031723897,-0.038831413,-0.0008175188,-0.045345083,-0.026613409,0.00030759623,0.003149284,0.00018395341,0.0022215587
Thierno Barry,22,76.0,84.0,82.0,76.0,76.0,75.0,18.0,79.0,0,0,0,0,22087243.999999985,22482404.0,0.02477668,-0.21035953,-0.08141841,-0.014612443,0.009124428,0.0063237622,-0.049498178,0.019432044,0.000563024,0.0007472072,-0.0015654416,0.00092438154,0.0031575828
Rúben Diogo da Silva Neves,28,85.0,85.0,57.0,66.0,88.0,74.0,79.0,74.0,1,0,0,1,18406037.000000015,20038684.0,-0.23028271,0.07972757,-0.09051509,-0.06402947,-0.016096257,0.04192612,-0.08629086,-0.004676738,-0.0043264786,-0.015052624,-0.0025099325,-0.001491846,-0.013862965
Rayan El Bahri,19,55.0,69.0,65.0,60.0,49.0,59.0,28.0,48.0,0,1,0,0,29449658.99999995,28621212.0,0.0955933,-0.1713524,0.04891633,-0.011146967,-0.013391782,-0.020224595,-0.0010258874,0.06418482,-0.047199473,-0.0006696432,0.0027524093,-0.0010301993,0.0036026665
Noni Madueke,23,80.0,84.0,88.0,75.0,76.0,85.0,45.0,67.0,0,0,0,0,36812074.00000004,32658840.0,0.011491783,-0.07717641,-0.06377147,0.035544988,0.010617627,-0.0013309353,0.093367696,0.05743081,0.012347098,0.0012314218,-0.0014491299,0.0015825208,0.0010796724
Nathaniel Brown,22,79.0,85.0,79.0,57.0,79.0,80.0,76.0,41.0,0,0,1,0,25768451.999999985,24273184.0,0.036414824,-0.15024543,-0.04278869,-0.0049283262,-0.016118228,-0.011409666,0.0037756094,4.6100526e-05,-0.029329402,0.0004503238,-0.001460044,-0.0023813024,0.0021986933
Igor Thiago Rodrigues,24,81.0,85.0,75.0,85.0,76.0,75.0,43.0,87.0,0,0,0,0,36812074.00000004,34382420.0,-0.0061393036,-0.0052293716,-0.059002925,0.01628912,0.045093484,0.008633144,-0.04939204,0.09434277,0.08378135,0.0011981616,-0.0015304731,0.0009295677,0.0034216668
Dušan Vlahović,25,81.0,84.0,78.0,82.0,75.0,78.0,26.0,87.0,0,0,0,0,25768451.999999985,26762808.0,-0.038726244,-0.025082547,-0.10058776,-0.008759361,-0.008897403,0.005482991,-0.03026079,0.018515,0.068035245,0.001226548,-0.0015572316,0.0008980426,0.001587752
Kevin Torres,22,62.0,71.0,76.0,55.0,64.0,59.0,35.0,62.0,0,0,0,0,22087243.999999985,23935776.0,0.027295316,-0.19015557,0.0029015923,0.0073929997,-0.012297263,-0.031897012,-0.012969792,0.03190034,-0.049796198,-0.00076586637,-0.0017623713,-0.0024287745,0.0028208687
Kenan Yıldız,20,81.0,89.0,84.0,79.0,77.0,86.0,36.0,67.0,0,1,0,0,55218110.99999999,52540450.0,0.08933791,0.011441017,0.35374427,-0.026809448,0.014645747,0.003728553,0.059202544,0.049287036,-0.011894436,0.002336561,0.00277156,0.0055216085,0.003125392
Maxence Lacroix,25,81.0,83.0,93.0,29.0,71.0,66.0,82.0,84.0,0,0,1,0,29449658.99999995,27444228.0,-0.005485172,-0.0019839054,-0.08438147,0.038734812,-0.053141262,-0.02213753,-0.036633253,-0.0015552166,0.07577155,0.0009613462,-0.001451842,-0.0034166102,0.0017246068
Frenkie de Jong,28,87.0,87.0,83.0,75.0,90.0,86.0,78.0,73.0,1,0,0,1,33130866.00000001,33674856.0,-0.23030464,0.24166785,0.04954422,-0.005900046,0.0059180516,0.031403933,0.04826036,0.008720889,0.007507527,-0.043481942,-0.0013455658,0.0029862109,-0.0033611413
Kevin Palacios,24,64.0,67.0,69.0,66.0,62.0,62.0,29.0,48.0,0,0,0,0,22087243.999999985,23270920.0,-0.047168102,-0.14428075,0.04200487,0.017213348,-0.00015757448,-0.03859611,-0.023755405,0.01609401,-0.07768646,-0.00076586637,-0.0017039282,-0.0015019911,0.0023657167
Gabriel Ardero,29,70.0,70.0,74.0,64.0,69.0,77.0,36.0,53.0,1,0,0,1,55218110.99999999,48918096.0,0.22244057,0.05465979,0.12065887,0.02296572,0.015090735,0.001206544,0.008706528,0.03541599,-0.018679798,0.029053865,-0.0009087497,-0.00024238613,-0.0053641936
Rayan Fofana,19,72.0,82.0,88.0,73.0,62.0,68.0,31.0,64.0,0,1,0,0,29449658.99999995,21392264.0,0.06824164,-0.23748796,-0.05936353,-0.013470085,-0.0046856115,-0.054383468,-0.032360062,0.03554665,-0.047751527,0.00057943835,0.0023120188,-0.001546159,0.002258372
Abdukodir Khusanov,21,80.0,86.0,93.0,34.0,72.0,62.0,81.0,82.0,0,1,1,0,25768451.999999985,27256636.0,0.026737528,-0.06785821,-0.0007334813,0.0064848894,-0.03558641,-0.036812585,-0.034742013,-0.0077408366,0.051811624,0.001028583,0.00023197797,-0.00435872,0.0016840494
Mamadou Sangaré,23,79.0,86.0,78.0,61.0,82.0,79.0,81.0,64.0,0,0,0,1,22087243.999999985,21998452.0,-0.022393528,-0.18691447,-0.012684508,-0.0029596796,-0.020199046,0.0042808997,0.004214402,-0.0024265272,-0.06764702,0.0009453872,-0.0037065642,0.00053750555,-0.005218176
Hugo Ekitiké,23,85.0,88.0,87.0,86.0,82.0,87.0,35.0,70.0,0,0,0,0,66261732.99999991,53456268.0,0.043408643,0.34049472,0.12774909,-0.03583855,0.04727735,-0.0010635032,0.05476201,-0.0052219694,-0.008394131,0.0050562234,-0.0010855685,0.0056516873,0.00092697295
Christian Kofane,18,76.0,86.0,79.0,76.0,69.0,74.0,28.0,69.0,0,1,0,0,29449658.99999995,26784360.0,0.08812763,-0.21711053,-0.010691471,0.003893831,0.022473363,-0.065871164,-0.030350866,0.0930239,-0.008265864,0.00081444404,0.0013984055,0.0009208483,0.004315175
Malik Tillman,23,80.0,85.0,84.0,74.0,77.0,82.0,67.0,82.0,0,0,0,0,22087243.999999985,25585324.0,0.004477985,-0.09291987,-0.055288367,-0.02982925,-0.010236606,-0.005509348,0.022079589,-0.06293409,0.06453547,0.0009472123,-0.0010112025,0.0016432994,0.00091728655
Kevin González,24,62.0,69.0,70.0,61.0,67.0,48.0,64.0,48.0,0,0,0,1,22087243.999999985,22117980.0,-0.03933841,-0.18510738,0.060489837,0.01645724,-0.00789379,-0.027476192,-0.016103093,-0.031528637,-0.0663765,-0.0010276223,-0.0013900101,-0.000535804,-0.008925202
Donyell Malen,26,79.0,79.0,84.0,79.0,77.0,83.0,33.0,66.0,0,0,0,0,25768451.999999985,24473176.0,-0.019562138,-0.17144373,-0.087186754,-0.009984947,0.01266558,-0.008048017,0.06419804,0.045697525,-0.035505936,0.0008723385,-0.001630425,0.00042508123,0.001946747
Renato Palma Veiga,21,78.0,83.0,83.0,50.0,78.0,72.0,77.0,82.0,0,1,1,0,18406037.000000015,20442292.0,0.019305624,-0.19567326,-0.096721105,-0.03545295,-0.023569074,-0.0057359375,-0.050431356,-0.03025803,0.029538266,0.00036285009,0.0031584515,-0.004035273,0.0019720683
Declan Rice,26,88.0,89.0,73.0,64.0,87.0,82.0,86.0,79.0,0,0,0,1,88348977.99999991,81551816.0,0.044077583,0.48286068,0.3115229,0.014021301,-0.0017125611,0.07464683,0.032084942,-0.011751852,0.03268406,0.007506559,-0.0016526808,0.01668823,-0.0048777615
Javier Guerra,21,60.0,71.0,71.0,27.0,55.0,54.0,59.0,52.0,0,1,1,0,18406037.000000015,19704660.0,0.02462307,-0.20668048,-0.0133716315,0.010157128,-0.1034992,-0.029552206,-0.030946514,-0.042300075,-0.034311593,-0.0010430503,0.0028568017,-0.002318512,0.002093842
Matthijs de Ligt,25,82.0,84.0,68.0,50.0,77.0,65.0,81.0,91.0,0,0,1,0,29449658.99999995,27788448.0,-0.019458586,-0.00091133517,-0.09932296,0.02103768,-0.0060191187,-0.002023603,-0.030515842,-0.018724708,0.0767268,0.0009613462,-0.0023216482,-0.0027248026,0.0027754002
Milos Kerkez,21,81.0,85.0,87.0,53.0,77.0,77.0,78.0,75.0,0,1,1,0,29449658.99999995,28694072.0,0.061261144,0.0022930873,-0.058168225,-0.03415251,-0.01308344,-0.0042957584,-0.007192002,-0.008913681,0.013007197,0.0009613462,0.0043346235,-0.0059200884,0.0014137643
Jhon Durán,21,79.0,85.0,85.0,82.0,69.0,76.0,33.0,83.0,0,1,0,0,18406037.000000015,21196416.0,0.019992579,-0.1837555,-0.06414101,-0.046268065,-0.014675308,-0.07764889,-0.05298691,0.018664537,0.044935454,0.0006871393,0.0007982402,0.00091718603,0.0021703125
Lewis Hall,20,81.0,86.0,76.0,60.0,80.0,81.0,81.0,56.0,0,1,1,0,25768451.999999985,30091040.0,0.09312962,-0.012098801,-0.017983058,0.003946721,-0.035652477,0.028504478,0.012912047,-0.009589164,-0.069989495,0.0014409814,0.007956332,-0.005491759,0.0019973556
Hugo Larsson,21,77.0,85.0,81.0,75.0,81.0,75.0,70.0,74.0,0,1,0,1,23559726.99999998,21643108.0,0.022758935,-0.20503275,-0.04277357,-0.020876242,-0.0011703579,0.023550538,-0.063087806,-0.046002977,0.0045122877,0.00076111464,0.0061285724,0.00095419184,-0.010176292
Rodrigo Mora de Carvalho,18,77.0,89.0,74.0,70.0,78.0,78.0,44.0,32.0,0,1,0,0,27977176.000000015,34296356.0,0.094435684,-0.24403858,0.30241206,0.016240988,-0.027595554,-0.0027050264,-0.009883377,0.03709788,-0.052043036,0.00117679,0.00650331,0.0050160475,0.0032789744
Pape Gueye,26,80.0,81.0,73.0,65.0,81.0,78.0,80.0,82.0,0,0,0,1,29449658.99999995,25320788.0,-0.023268951,-0.09073869,-0.11866026,-0.001298293,0.016354224,0.008035046,-0.00953235,-0.021762177,0.07388665,0.0013891727,-0.003675306,0.00081401964,-0.005064945
Joaquín Panichelli,22,77.0,85.0,73.0,80.0,68.0,71.0,16.0,86.0,0,0,0,0,25768451.999999985,25239588.0,0.0393678,-0.18920286,-0.043829057,0.0065115383,0.008261872,-0.052350685,-0.0371832,0.015612319,0.071441665,0.0007472072,-0.0016453677,0.00094532385,0.0046013007
Jacobo Ramón Naveros,20,71.0,81.0,60.0,35.0,70.0,52.0,74.0,69.0,0,1,1,0,18406037.000000015,19059256.0,0.029404333,-0.22308908,-0.07904411,-0.036902163,-0.023922743,-0.037986968,-0.023658607,-0.042843,-0.025080398,0.00023600907,0.005100897,-0.0027481408,0.0029394678
Marc Cucurella Saseta,26,85.0,86.0,77.0,61.0,82.0,78.0,85.0,70.0,0,0,1,0,36812074.00000004,39041916.0,0.020419046,0.348976,-0.044861365,0.00044020332,-0.03020379,-0.0032166978,-0.014331017,-0.005496756,-0.0030921628,0.0030493743,-0.0019901502,-0.011330689,0.0011320061
Habib Diarra,21,77.0,83.0,67.0,66.0,78.0,78.0,76.0,69.0,0,1,0,1,23559726.99999998,22456692.0,0.030726675,-0.20535436,-0.08856959,0.012086405,0.0051095025,-0.012115341,-0.014842337,-0.0046561947,-0.016589236,0.00037827814,0.007823752,0.0008653937,-0.008422164
Luka Vušković,18,78.0,88.0,64.0,61.0,78.0,64.0,80.0,85.0,0,1,1,0,44174489.00000005,27400032.0,0.08790931,-0.22914371,0.11483237,-0.030767478,-0.028181516,0.0034052362,-0.03906477,-0.0108915055,0.02975383,0.0008469091,0.0066506593,-0.00369342,0.0037477403
Yann Aurel Bisseck,24,76.0,80.0,76.0,54.0,73.0,73.0,76.0,83.0,0,0,1,0,29449658.99999995,23435908.0,-0.011043502,-0.19503212,-0.08282287,0.010046027,-0.0026216705,0.007572575,-0.04292059,-0.009077997,0.07724366,0.00036285009,-0.0023852077,-0.00340758,0.003211838
Honest Ahanor,17,72.0,81.0,70.0,42.0,69.0,62.0,76.0,60.0,0,1,1,0,18406037.000000015,22331756.0,0.08346213,-0.2199859,-0.0671383,0.029473664,0.0062462143,-0.038228832,-0.019479657,-0.014442872,-0.06859287,0.00036285009,0.005100897,0.000102302016,0.0039888956
Pablo Barrios Rivas,22,83.0,88.0,82.0,70.0,86.0,83.0,80.0,73.0,0,0,0,1,44174489.00000005,45335220.0,0.08081672,0.09217216,0.1801077,-0.012942283,-0.004978025,0.047229506,0.03030956,-0.003153565,0.002281276,0.0027634543,-0.00286883,0.001396558,-0.004189989
